                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.471,                 8.6131,                 4.1848,                      0,                      0,                      0,                      0,                   2.73,                 4.1797,                 1.5918,                      0,                      0,                      0
                      2,                 6.4797,                 6.6142,                 4.2888,                      0,                      0,                      0,                      0,                   2.73,                 4.1797,                 1.5918,             9.5743e-06,             9.5743e-06,             9.5743e-06
                      3,                 6.7775,                 9.4421,                 4.1972,                      0,                      0,                      0,                      0,                 2.7309,                 4.1797,                 1.5921,             9.7172e-06,             9.7172e-06,             9.7172e-06
